Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Mali,MLI,0.933377285,0.565173978,0.663166865,0.448975317,0.523616039,0.514340229,0.402932135,0.262500817,0.260834241,0.231546747,0.215566243,0.214472051,0.203465937,0.227873196,0.198899106,0.272704131,0.277907635,0.256752955,0.261591897,0.305990042,0.225680826,0.326038929,0.364588051
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Mauritania,MRT,1.783047943,1.675695136,0.99413892,0.767077628,0.865240867,0.781177293,0.663261869,0.659382492,0.495175903,0.515479752,0.667673196,0.66775847,0.909745982,0.841439711,1.058142033,1.627444475,1.221135757,1.24108331,1.299331456,1.21534112,0.760952845,0.649340022,0.762092281
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Mauritius,MUS,1.118139188,0.806973723,0.873630926,0.99181083,0.780931153,0.65081658,0.691078601,1.122395121,0.536113238,0.65881903,0.930934649,0.920235381,0.930192054,0.910176666,2.69983952,2.560886424,2.254683859,2.123580373,2.400476252,4.747693847,3.556716865,3.433468744,4.887477827
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Mozambique,MOZ,0.823414385,1.834641268,2.304135864,2.266652483,2.135972827,1.961616568,2.467656149,1.793853641,2.060201759,1.561389509,1.363634085,1.365021981,1.531038051,2.616282828,2.973232914,4.553271241,7.211099982,8.76262996,11.16742601,9.176555787,5.391535117,5.162629804,13.69640851
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Niger,NER,0.459790731,0.307470781,0.302349757,0.323135795,0.347381667,0.296782437,0.215290627,0.25180582,0.148679061,0.12720224,0.125221167,0.130883771,0.141771788,0.210172972,0.259787082,0.236816335,0.302409194,0.33434926,0.334553124,0.271334581,0.387641229,0.425637475,0.498997257
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,0.142852324,0.109105449,0.101323013,0.108657883,0.121950202,0.166704929,0.127965082,0.171571621,0.238449443,0.380534364,0.496275541,0.519012754,0.532545126,0.511875061,0.637552536
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Rwanda,RWA,0.591881324,0.394139729,0.380427348,0.407784232,0.530501422,0.39184657,0.273114944,0.183299837,0.296253446,0.180727233,0.173924285,0.149071034,0.216813087,0.416319697,0.627317085,0.671713096,0.852302924,0.978305165,1.144466121,1.390870387,1.544540918,1.417970003,1.476537296
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Sao Tome and Principe,STP,3.094219605,2.578352299,2.707630871,2.257423792,2.364366953,1.567594433,1.327342993,0.963156164,0.326551378,0.178607403,0.247239309,0.251615805,0.261103746,0.218701734,0.393185078,0.384937218,0.374925034,0.36360843,0.361562649,0.8790263,0.264075283,0.114085445,0.462155196
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Senegal,SEN,1.313796029,1.032436138,1.077431625,0.906295595,0.74760681,0.534540759,0.647634311,0.459092432,0.328098044,0.322219326,0.63571616,1.163147276,1.440680296,1.907410893,1.166666579,1.411328739,1.422861138,2.12573909,2.304292301,2.412676417,3.550999348,3.878326447,4.95066413
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Sierra Leone,SLE,2.083442185,1.100897988,0.562466239,0.663974092,0.84946761,0.688416237,0.772345977,0.248909103,0.129187581,0.172952178,0.178015014,0.212852529,0.168767116,0.215542519,0.177190151,0.196893613,0.436118853,0.494187703,0.341648996,0.438318535,0.268313631,0.229955531,0.505694692
